Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
10000,1.3714521,0.064731866,1.3219132,14.399454,0.10131709,0.00029991625,0.19997208,0.009997211,1.6426105,0.40848035,0.58991843,0.2405895,1666.0,-0.1997198861790821,-0.1997198861790821,536.2658682584763,1.0
20000,1.327552,0.018919677,4.045142,20.908749,0.1075587,0.00029976072,0.19992024,0.009992031,0.9311389,0.29764032,0.66757566,0.2140989,1666.0,-0.7997599595924839,-0.7997599595924839,626.3248336732388,1.0
30000,1.1317732,-0.00285077,5.838586,15.938961,0.10078226,0.00029961934,0.1998731,0.009987323,0.8497887,0.27189443,0.7027517,0.18276614,1665.0,-0.7138427889273901,-0.7138427889273901,546.1703301668167,1.0
40000,0.9690566,-0.040519103,7.512844,12.220116,0.10504234,0.00029947705,0.19982566,0.009982584,0.7819854,0.27118602,0.748815,0.14659683,1666.0,0.0004835190096249183,0.0004835190096249183,495.32205595076084,1.0
50000,0.7820141,-0.048963167,8.779876,11.953762,0.097570255,0.0002993347,0.19977823,0.0099778455,0.70096093,0.25608677,0.791988,0.119022235,1666.0,-0.3995398485800251,-0.3995398485800251,568.6598166465759,1.0
60000,0.5806915,0.007854951,10.405109,17.83153,0.110443495,0.00029917393,0.19972463,0.00997249,0.6670924,0.23100543,0.7989943,0.10500189,1665.0,-0.285028452269866,-0.285028452269866,479.8052411111338,1.0
70000,0.46261322,0.06536123,12.366529,23.025045,0.12996586,0.00029901456,0.1996715,0.009967185,0.6314812,0.22496253,0.81768435,0.14010672,1666.0,0.00036681311515470344,0.00036681311515470344,607.9530441214641,1.0
80000,0.3307175,0.02381857,13.5019045,5.2392073,0.113839656,0.000298877,0.19962567,0.009962603,0.4694616,0.16696055,0.8683967,0.20810829,1666.0,-0.3995999077102169,-0.3995999077102169,456.0551760792732,1.0
90000,0.36435437,0.0073959595,13.347551,17.33365,0.12100937,0.00029871927,0.19957311,0.009957353,0.4084145,0.1313806,0.8773626,0.10903344,1665.0,-0.8567713903030381,-0.8567713903030381,385.3505954545523,1.0
100000,0.39835745,-0.022287503,15.752766,31.456652,0.09872995,0.00029856074,0.19952026,0.009952072,0.48522723,0.16585937,0.86053514,0.10475456,1666.0,-0.4997999246697873,-0.4997999246697873,621.0899626083361,1.0
110000,0.6685831,-0.015906215,15.476008,32.015625,0.099217005,0.000298414,0.19947132,0.009947184,0.44271582,0.13435325,0.8613905,0.03100444972515106,1666.0,-0.19955985040869564,-0.19955985040869564,576.8540137812495,1.0
120000,0.9158436,-0.029008083,19.2522,7.298547,0.09705406,0.00029826933,0.1994231,0.009942368,0.33217114,0.105908975,0.898924,0.0,1665.0,-0.5709427722363866,-0.5709427722363866,269.23640391789377,1.0
130000,0.80507684,-0.045417216,16.83431,23.248152,0.09863818,0.00029811935,0.19937313,0.009937375,0.3196401,0.104992926,0.905437,0.0,1666.0,-0.8332499365787953,-0.8332499365787953,326.5246082882707,1.0
140000,0.56397057,-0.039013635,20.215504,18.944519,0.09703667,0.00029796935,0.1993231,0.009932377,0.48194426,0.16415656,0.85434216,0.0,1666.0,-0.9998399505158886,-0.9998399505158886,495.70801295321434,1.0
150000,0.46011528,-0.023512453,20.42283,19.106302,0.09954063,0.00029781935,0.1992731,0.009927382,0.4229411,0.14287199,0.8689676,0.0,1665.0,-0.8567284834737491,-0.8567284834737491,478.63688230660875,1.0
160000,0.6272964,-0.035247263,20.359344,27.7115,0.10093019,0.00029766935,0.19922312,0.00992239,0.46987334,0.14976247,0.85154384,0.0,1666.0,-0.8332166275164733,-0.8332166275164733,578.2467644726858,1.0
170000,0.9752021,-0.048782617,20.491415,67.998314,0.100295186,0.00029751935,0.19917311,0.009917393,0.4960074,0.15663347,0.83850926,0.0,1666.0,-0.7997398966690525,-0.7997398966690525,609.4517218887806,1.0
