Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
10000,1.4396648,0.03509647,1.3492032,30.905054,0.10836588,0.00029992417,0.19997472,0.009997474,1.999105,0.4768919,0.52898717,0.24877287,1666.0,-0.19971987425815313,-0.19971987425815313,790.5611417412758,1.0
20000,1.2974404,-0.015009051,5.136093,10.93584,0.10521325,0.0002997847,0.19992822,0.00999283,1.0367569,0.3467151,0.63073754,0.22385684,1666.0,-0.19951978416647762,-0.19951978416647762,619.1526263952255,1.0
30000,1.2557483,0.017102625,6.9903536,27.058695,0.10528269,0.00029962434,0.19987479,0.00998749,0.8309845,0.27424127,0.7212825,0.19839893,1463.142857142857,0.19691261094703805,0.19691261094703805,486.29509935714304,1.0
40000,1.1717013,0.034191925,8.704639,10.947111,0.10103512,0.00029946244,0.1998208,0.009982097,0.80992925,0.28342333,0.74429905,0.16287085,1421.1666666666667,0.7375429072583627,0.7375429072583627,433.3197447721447,1.0
50000,0.7822003,0.020226499,10.1245575,14.85137,0.100416645,0.0002993206,0.19977355,0.009977376,0.79440033,0.28967085,0.75701463,0.13322529,1518.6666666666667,0.25568347579489153,0.25568347579489153,494.3064601421356,1.0
60000,0.8868251,0.039111268,11.336378,18.076534,0.11217178,0.00029917818,0.19972605,0.009972634,0.6923397,0.2510465,0.8029544,0.11993077,1665.1666666666667,1.0009668989223428,1.0009668989223428,562.4682254033784,1.0
70000,0.87675273,0.08574818,12.883145,7.6338377,0.10444714,0.00029903592,0.19967861,0.009967895,0.6926037,0.2630801,0.7993184,0.109024465,1643.3333333333333,1.3478835539426655,1.3478835539426655,446.20291588703793,1.0
80000,0.8475505,0.03544378,14.4815235,13.983961,0.10107805,0.00029887402,0.19962467,0.009962503,0.5933549,0.22398882,0.8368861,0.095412426,1665.8333333333333,0.5008502766722813,0.5008502766722813,481.60140932102996,1.0
90000,0.7249361,0.04366332,15.309535,15.809666,0.10760018,0.00029871197,0.19957069,0.009957109,0.5597656,0.20910546,0.84136176,0.09385039,1665.0,0.16751680505694821,0.16751680505694821,449.08043755590916,1.0
100000,0.6009901,0.045437854,17.798965,19.998997,0.10204302,0.00029856927,0.1995231,0.009952356,0.60568506,0.21654195,0.8252984,0.13791077,1530.2857142857142,1.7965716254631323,1.7965716254631323,595.859049863049,1.0
110000,0.8266939,0.015707,19.800772,16.925508,0.101018645,0.00029841549,0.19947185,0.009947236,0.5212164,0.18195273,0.84584635,0.03835943341255188,1512.5714285714287,1.0928858814129074,1.0928858814129074,503.51877711926187,1.0
120000,0.7158085,0.004855814,22.302282,31.980171,0.105492264,0.0002982785,0.19942614,0.009942674,0.63683426,0.22054328,0.8075093,0.0,1403.1666666666667,0.1577666480637466,0.1577666480637466,494.60196357468766,1.0
