Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Is Training
10000,1.5419319,-0.21973003,0.24002066,0.60045415,4.197368,0.43074027,0.0002998328,0.19994427,0.009994432,0.135838,1.5846007,3.419386,0.29463893,0.735851,0.19369833,832.5,-4.42054502598264,-4.42054502598264,23.43878950314088,108.88357772610404,1.0
20000,1.186275,-0.21577199,1.1509796,3.957271,8.708516,0.4770326,0.0002995466,0.19984886,0.009984901,0.05232408,1.3658552,1.5280087,0.30225092,0.7128253,0.11686148,524.9,-0.2406939538743566,-0.2406939538743566,15.241737119963064,167.57395864935484,1.0
30000,0.79969364,-0.047442358,1.628603,8.076625,4.7122145,0.4913991,0.00029922536,0.19974177,0.009974204,0.04151199,0.9618533,1.3346994,0.30350915,0.7028763,0.07211852,516.7619047619048,1.03176679658807,1.03176679658807,8.209132754968273,112.7105408443345,1.0
40000,0.6999439,0.30281028,1.8781017,9.910139,3.1206317,0.52956676,0.00029894465,0.19964822,0.009964855,0.043459408,0.86773497,1.3825163,0.3229618,0.69710076,0.04912807,397.05,1.6195704546170655,1.6195704546170655,7.4996667500171394,87.19470156563654,1.0
50000,0.83621377,0.3584557,2.1277792,11.130517,1.8901125,0.4775323,0.00029867375,0.19955793,0.0099558355,0.05160861,0.9361681,1.168805,0.309329,0.71425855,0.036862556,514.875,1.0289376000582706,1.0289376000582706,11.592596728354692,104.10429620742798,1.0
60000,0.79268056,0.11642067,2.0019827,11.94079,1.7449207,0.46383876,0.00029836866,0.19945619,0.009945674,0.0447874,0.92908204,1.026758,0.28666288,0.7307369,0.033743534,490.5652173913044,1.206217515282333,1.206217515282333,9.306956635869067,94.79565002866413,1.0
70000,0.9050471,0.093744755,2.0009043,13.156561,1.4009145,0.4392004,0.0002980678,0.19935593,0.0099356575,0.054377586,0.9708538,1.0998658,0.2975516,0.7148368,0.02782301,455.1304347826087,0.5111801243387163,0.5111801243387163,9.856064420938491,88.78591626286507,1.0
80000,0.8221582,0.24249272,2.2091322,15.028815,1.2429396,0.46623507,0.00029776254,0.19925418,0.009925494,0.055093743,0.93933094,1.1240976,0.31079453,0.70529777,0.027244095,303.8181818181818,1.5374471695908785,1.5374471695908785,7.650524599696784,65.43287390311632,1.0
90000,0.8555462,0.46528688,2.5469863,16.137516,1.2793399,0.4675378,0.00029746053,0.19915351,0.009915436,0.062748134,0.8915211,1.1153063,0.29522735,0.71051896,0.03266093,341.85714285714283,1.7931852592500273,1.7931852592500273,8.02077543211204,58.743756197116994,1.0
100000,0.7312238,0.54681814,2.6094787,16.35391,1.2384403,0.4463706,0.00029715267,0.19905089,0.009905184,0.05575589,0.75170356,1.0143948,0.29606512,0.7132574,0.040187478,332.258064516129,2.0941226210505253,2.0941226210505253,8.325729125930417,61.291212351091445,1.0
110000,0.90775853,0.38546926,2.5502229,15.274545,1.154272,0.42265195,0.0002968459,0.19894862,0.009894966,0.056504935,0.8172492,0.9255543,0.27643418,0.72802025,0.009614624828100205,457.72222222222223,1.3024000510728608,1.3024000510728608,10.101312859427361,76.65630882694607,1.0
